"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
691406,"Caminero, Junior",659,0.9114799446749654,521,"79.847199241",0.8816388467374809,0.30710172744721687,0.24279210925644917,0.2591170825335892,0.20485584218512898,"8.669017405",7,9.649835999071511,138,0.2094081942336874,287,0.4355083459787557
691023,"Walker, Jordan",720,0.9022556390977443,522,"79.166528042",0.8555555555555557,0.289272030651341,0.20972222222222223,0.22413793103448276,0.1625,"8.315493472",16,9.460726247523102,198,0.275,270,0.375
665833,"Cruz, Oneil",447,0.9048582995951417,281,"78.461901745",0.7807606263982101,0.3416370106761566,0.21476510067114093,0.24555160142348753,0.15436241610738255,"7.622225302",7,0.3624654133836531,166,0.3713646532438479,137,0.30648769574944074
701762,"Kurtz, Nick",634,0.9057142857142857,412,"78.26626664",0.8107255520504731,0.2669902912621359,0.17350157728706625,0.220873786407767,0.14353312302839116,"7.756410252",17,-6.058084417694216,222,0.3501577287066246,175,0.27602523659305994
701358,"Smith, Cam",660,0.9028727770177839,478,"77.452157894",0.7590909090909091,0.26359832635983266,0.19090909090909092,0.17573221757322174,0.12727272727272726,"7.700522288",8,-23.10929695630645,182,0.27575757575757576,237,0.35909090909090907
669003,"Mitchell, Garrett",533,0.9080068143100511,352,"77.385724672",0.7842401500938087,0.3039772727272727,0.20075046904315197,0.21022727272727273,0.13883677298311445,"7.229286041",17,-7.7421971784360615,181,0.3395872420262664,176,0.3302063789868668
695506,"Caglianone, Jac",647,0.902370990237099,469,"77.368620788",0.7604327666151468,0.29850746268656714,0.21638330757341576,0.2281449893390192,0.16537867078825347,"7.908258454",11,-3.952516946811827,178,0.2751159196290572,225,0.34775888717156106
666176,"Adell, Jo",803,0.9032620922384702,616,"77.328653748",0.7123287671232877,0.237012987012987,0.18181818181818182,0.15097402597402598,0.11581569115815692,"7.720421382",21,-19.018444646407776,187,0.2328767123287671,284,0.35367372353673726
656941,"Schwarber, Kyle",753,0.9017964071856287,523,"77.085315618",0.7503320053120848,0.24282982791587,0.16865869853917662,0.1701720841300191,0.11819389110225764,"7.486884967",35,5.538833316308324,230,0.3054448871181939,210,0.2788844621513944
575929,"Contreras, Willson",664,0.9021739130434783,481,"77.070988614",0.7168674698795181,0.2598752598752599,0.18825301204819278,0.17255717255717257,0.125,"7.928042831",20,17.375755574874972,183,0.2756024096385542,235,0.3539156626506024
695578,"Wood, James",702,0.9,505,"76.838644758",0.6823361823361824,0.33663366336633666,0.24216524216524216,0.2376237623762376,0.17094017094017094,"7.416821538",38,-0.7271850154164805,197,0.28062678062678065,246,0.3504273504273504
641343,"Bauers, Jake",547,0.9071310116086235,405,"76.767764369",0.712979890310786,0.3432098765432099,0.25411334552102377,0.21481481481481482,0.1590493601462523,"7.672335832",19,-3.5674121716162333,142,0.2595978062157221,210,0.38391224862888484
677594,"Rodríguez, Julio",715,0.9050632911392406,531,"76.643004923",0.6741258741258742,0.2711864406779661,0.2013986013986014,0.1807909604519774,0.13426573426573427,"7.786771664",10,-12.307680297955253,184,0.2573426573426573,261,0.365034965034965
695657,"Montgomery, Colson",709,0.9008894536213469,455,"76.322024344",0.6699576868829337,0.25054945054945055,0.1607898448519041,0.16043956043956045,0.10296191819464035,"7.915049252",22,-11.10887425520434,254,0.35825105782792666,221,0.31170662905500707
665489,"Guerrero Jr., Vladimir",647,0.9061624649859944,528,"76.284764235",0.6290571870170013,0.3087121212121212,0.25193199381761977,0.20265151515151514,0.16537867078825347,"7.561138594",7,-22.250191417349964,119,0.1839258114374034,302,0.4667697063369397
656305,"Chapman, Matt",550,0.9090909090909091,425,"76.1503758",0.6127272727272726,0.2164705882352941,0.16727272727272727,0.12941176470588237,0.1,"7.370998182",11,-14.312486939229212,125,0.22727272727272727,199,0.3618181818181818
