"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
683002,"Henderson, Gunnar","L","L",27.1904438672028,24.095674789831723,32.110403059519356,-5.860766590073556,33.61183994722546,6.4213960800226495
687263,"Neto, Zach","R","R",16.93351591785265,20.683711260054217,39.57615178430708,-6.154520844073205,38.55796377265076,21.624447854798113
518692,"Freeman, Freddie","L","L",29.719649971390062,30.978106694598964,33.71461253155218,2.508662051397814,26.08949454310649,-3.6301554282835635
666176,"Adell, Jo","R","R",25.731619354623632,27.092513040056296,40.2508169485475,-9.876799022403413,26.770617154091024,1.0389977994673933
621566,"Olson, Matt","L","L",30.515174578964388,29.875351785309558,25.05319638752732,-16.551536580781796,36.367102236045376,5.851927657080966
547180,"Harper, Bryce","L","L",24.335923578916628,29.457628305590063,31.664255880407428,-14.177515659312194,33.0589123129996,8.722988734082978
607208,"Turner, Trea","R","R",26.78198011387307,30.785971332584694,42.028642013193746,2.3438108031715332,30.284561396833638,3.502581282960566
664040,"Lowe, Brandon","L","L",27.231320650914018,25.066331553008556,20.707459213507736,-2.866157652123187,34.71852108673232,7.487200435818293
646240,"Devers, Rafael","L","L",25.035018991446545,25.548709350325048,34.720098039057575,-64.97467832330298,28.877278379033857,3.8422593875873075
521692,"Perez, Salvador","R","R",29.345338670299405,27.369896339845063,34.374064363781635,-23.944258065795598,29.93189211613474,0.5865534458353374
681624,"Pages, Andy","R","R",30.18274932232836,28.101836926565998,23.45333943561556,-19.595007454140845,28.79704316130653,-1.385706161021833
691718,"Crow-Armstrong, Pete","L","L",31.71276293995034,25.447068262899737,25.623590289386943,0.15789348879920612,37.916669313696225,6.203906373745895
701538,"Merrill, Jackson","L","L",26.515186349142404,28.22155210136664,23.325889950631975,0.06621809037633046,29.835266369281573,3.3200800201391623
677800,"Abreu, Wilyer","L","L",29.857113876508972,27.173235160950938,33.77550838323061,-26.770810054024583,28.13196980658465,-1.7251440699243115
666182,"Bichette, Bo","R","R",27.66099912008098,25.049943702009635,32.846343267494895,-0.17692580704760466,25.86143344344932,-1.7995656766316555
656941,"Schwarber, Kyle","L","L",20.0757090860472,25.186194526528396,30.01598835370168,-7.902934069549398,35.27097380728084,15.195264721233647
572233,"Walker, Christian","R","R",29.175929603628987,27.01066828820181,23.826711767177066,-16.35784019512979,31.575045639553938,2.399116035924945
