"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
527048,"Pérez, Martín",516,0.9398907103825137,400,"73.351892539",0.3468992248062015,0.34,0.26356589147286824,0.16,0.12403100775193798,"7.693147326",6,-21.91147122428542,116,0.2248062015503876,225,0.436046511627907
608372,"Sugano, Tomoyuki",604,0.945226917057903,506,"73.350350182",0.3311258278145696,0.3794466403162055,0.31788079470198677,0.19367588932806323,0.16225165562913907,"7.518127003",10,-7.00384174605048,98,0.16225165562913907,280,0.46357615894039733
656427,"Flaherty, Jack",665,0.9313725490196079,495,"73.085368361",0.3308270676691729,0.28888888888888886,0.21503759398496242,0.14343434343434344,0.10676691729323308,"7.527157293",16,-14.581888953282863,170,0.2556390977443609,222,0.33383458646616543
543135,"Eovaldi, Nathan",883,0.9464094319399786,619,"73.075105968",0.362400906002265,0.3247172859450727,0.2276330690826727,0.14539579967689822,0.10192525481313704,"7.533393352",5,-19.354266503482865,264,0.29898074745186864,318,0.36013590033975085
680573,"Woods Richardson, Simeon",382,0.9339853300733496,314,"72.998721937",0.3769633507853404,0.3885350318471338,0.3193717277486911,0.18471337579617833,0.1518324607329843,"7.306517984",5,-1.8078941018482122,68,0.17801047120418848,183,0.4790575916230366
665795,"Cabrera, Edward",514,0.9194991055456172,390,"72.936913988",0.3346303501945525,0.358974358974359,0.2723735408560311,0.15384615384615385,0.11673151750972763,"7.478742626",14,-9.353062136202045,124,0.24124513618677043,197,0.3832684824902724
675512,"Melton, Troy",390,0.9133489461358314,296,"72.933476974",0.33076923076923076,0.2972972972972973,0.22564102564102564,0.12162162162162163,0.09230769230769231,"7.464951769",11,-21.162678567442082,94,0.24102564102564103,148,0.37948717948717947
663554,"Mize, Casey",575,0.9214743589743589,419,"72.927547791",0.3252173913043479,0.30787589498806683,0.22434782608695653,0.12410501193317422,0.09043478260869565,"7.42142673",9,-22.42285356122268,156,0.271304347826087,218,0.3791304347826087
592791,"Taillon, Jameson",504,0.9163636363636364,378,"72.916894147",0.3115079365079366,0.3201058201058201,0.2400793650793651,0.15873015873015872,0.11904761904761904,"7.5200025",10,-1.784755879461886,126,0.25,200,0.3968253968253968
696270,"Johnson, Ryan",334,0.9382022471910112,260,"72.915784012",0.34431137724550903,0.2846153846153846,0.2215568862275449,0.12307692307692308,0.09580838323353294,"7.569822605",6,1.5399612505906632,74,0.2215568862275449,127,0.38023952095808383
